datasetID	name	link	publisher	supplier	dataset metadata
COL-163	The World List of Cycads in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/163			
COL-164	The Scorpion Files in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/164			
COL-166	3i Curculio in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/166			
COL-167	SF Zoraptera in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/167			
COL-168	SF Mantophasmatodea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/168			
COL-169	SF Chrysididae in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/169			
COL-170	SF Grylloblattodea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/170			
COL-171	PBI Plant Bug in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/171			
COL-172	Nepticuloidea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/172			
COL-173	SF Lygaeoidea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/173			
COL-174	PaleoBioDB in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/174			
COL-175	WoRMS Ostracoda in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/175			
COL-176	WoRMS Hexacoral in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/176			
COL-177	Gymnodinium in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/177			
COL-178	WoRMS Appendicularia in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/178			
COL-179	WoRMS Ceriantharia in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/179			
COL-180	WoRMS Ctenophora in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/180			
COL-181	WoRMS Cubozoa in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/181			
COL-182	WoRMS Loricifera in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/182			
COL-183	WoRMS PycnoBase in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/183			
COL-184	WoRMS Staurozoa in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/184			
COL-185	WoRMS Thaliacea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/185			
COL-186	WoRMS Ascidiacea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/186			
COL-188	WoRMS Scyphozoa in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/188			
COL-189	3i Auchenorrhyncha in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/189			
