parent,child
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Hindu_Kush_alpine_meadow
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Kopet_Dag_woodlands_and_forest_steppe
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Kuh_Rud_and_Eastern_Iran_montane_woodlands
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Sulaiman_Range_alpine_meadows
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Eastern_Himalayan_alpine_shrub_and_meadows
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Southeast_Tibet_shrub_and_meadows
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Yarlung_Tsangpo_arid_steppe
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Mediterranean_High_Atlas_juniper_steppe
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Northwestern_Himalayan_alpine_shrub_and_meadows
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Tian_Shan_montane_steppe_and_meadows
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Western_Himalayan_alpine_shrub_and_meadows
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Altai_alpine_meadow_and_tundra
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Khangai_Mountains_alpine_meadow
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Ordos_Plateau_steppe
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Sayan_Alpine_meadows_and_tundra
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Tibetan_Plateau_alpine_shrub_and_meadows
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Central_Tibetan_Plateau_alpine_steppe
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Qilian_Mountains_subalpine_meadows
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Karakoram-West_Tibetan_Plateau_alpine_steppe
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/North_Tibetan_Plateau-Kunlun_Mountains_alpine_desert
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Eastern_Mediterranean_conifer-sclerophyllous-broadleaf_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Southern_Anatolian_montane_conifer_and_deciduous_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Aegean_and_Western_Turkey_sclerophyllous_and_mixed_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Anatolian_conifer_and_deciduous_mixed_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Cyprus_Mediterranean_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Illyrian_deciduous_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Pindus_Mountains_mixed_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Mediterranean_woodlands_and_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Mediterranean_dry_woodlands_and_steppe
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Iberian_conifer_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Iberian_sclerophyllous_and_semi-deciduous_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Mediterranean_acacia-argania_dry_woodlands_and_succulent_thickets
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Northeastern_Spain_and_Southern_France_Mediterranean_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Northwest_Iberian_montane_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Southeastern_Iberian_shrubs_and_woodlands
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Southwest_Iberian_Mediterranean_sclerophyllous_and_mixed_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Corsican_montane_broadleaf_and_mixed_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Italian_sclerophyllous_and_semi-deciduous_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/South_Appenine_mixed_montane_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Tyrrhenian-Adriatic_sclerophyllous_and_mixed_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Crete_Mediterranean_forests
http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs,http://eol.org/schema/terms/Canary_Islands_dry_woodlands_and_forests
http://eol.org/schema/terms/flooded_grasslands_and_savannas,http://eol.org/schema/terms/Tigris-Euphrates_alluvial_salt_marsh
http://eol.org/schema/terms/flooded_grasslands_and_savannas,http://eol.org/schema/terms/Nile_Delta_flooded_savanna
http://eol.org/schema/terms/flooded_grasslands_and_savannas,http://eol.org/schema/terms/Saharan_halophytics
http://eol.org/schema/terms/flooded_grasslands_and_savannas,http://eol.org/schema/terms/Amur_meadow_steppe
http://eol.org/schema/terms/flooded_grasslands_and_savannas,http://eol.org/schema/terms/Bohai_Sea_saline_meadow
http://eol.org/schema/terms/flooded_grasslands_and_savannas,http://eol.org/schema/terms/Nenjiang_River_grassland
http://eol.org/schema/terms/flooded_grasslands_and_savannas,http://eol.org/schema/terms/Suiphun-Khanka_meadows_and_forest_meadows
http://eol.org/schema/terms/flooded_grasslands_and_savannas,http://eol.org/schema/terms/Yellow_Sea_saline_meadow
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Caspian_lowland_desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Central_Persian_desert_basins
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Badghyz_and_Karabil_semi-desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Central_Asian_northern_desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Central_Asian_riparian_woodlands
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Central_Asian_southern_desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Baluchistan_xeric_woodlands
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Afghan_Mountains_semi-desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Azerbaijan_shrub_desert_and_steppe
